energy=-5
social=5
fun=-2
#Frames
0;50;3;0;0;0;data/sfx/flee2.wav;
1;50;3;0;0;0;
2;50;3;0;0;0;
3;50;3;0;0;0;
4;50;3;0;0;0;
5;50;3;0;0;0;
6;50;3;0;0;0;
7;50;3;0;0;0;
8;50;3;0;0;0;
9;50;3;0;0;0;
0;50;3;0;0;0;
1;50;3;0;0;0;
2;50;3;0;0;0;
3;50;3;0;0;0;
4;50;3;0;0;0;
5;50;3;0;0;0;
6;50;3;0;0;0;
7;50;3;0;0;0;
8;50;3;0;0;0;
9;50;3;0;0;0;
0;50;3;0;0;0;
1;50;3;0;0;0;
2;50;3;0;0;0;
3;50;3;0;0;0;
4;50;3;0;0;0;
5;50;3;0;0;0;
6;50;3;0;0;0;
7;50;3;0;0;0;
8;50;3;0;0;0;
9;50;3;0;0;0;
0;50;3;0;0;0;
1;50;3;0;0;0;
2;50;3;0;0;0;
3;50;3;0;0;0;
4;50;3;0;0;0;
5;50;3;0;0;0;
6;50;3;0;0;0;
7;50;3;0;0;0;
8;50;3;0;0;0;
9;50;3;0;0;0;
0;50;3;0;0;0;
1;50;3;0;0;0;
2;50;3;0;0;0;
3;50;3;0;0;0;
4;50;3;0;0;0;
5;50;3;0;0;0;
6;50;3;0;0;0;
7;50;3;0;0;0;
8;50;3;0;0;0;
9;50;3;0;0;0;
0;50;3;0;0;0;
1;50;3;0;0;0;
2;50;3;0;0;0;
3;50;3;0;0;0;
4;50;3;0;0;0;
5;50;3;0;0;0;
6;50;3;0;0;0;
7;50;3;0;0;0;
8;50;3;0;0;0;
9;50;3;0;0;0;
0;50;3;0;0;0;
1;50;3;0;0;0;
2;50;3;0;0;0;
3;50;3;0;0;0;
4;50;3;0;0;0;
5;50;3;0;0;0;
6;50;3;0;0;0;
7;50;3;0;0;0;
8;50;3;0;0;0;
9;50;3;0;0;0;
0;50;3;0;0;0;
1;50;3;0;0;0;
2;50;3;0;0;0;
3;50;3;0;0;0;
4;50;3;0;0;0;
5;50;3;0;0;0;
6;50;3;0;0;0;
7;50;3;0;0;0;
8;50;3;0;0;0;
9;50;3;0;0;0;
0;50;3;0;0;0;
1;50;3;0;0;0;
2;50;3;0;0;0;
3;50;3;0;0;0;
4;50;3;0;0;0;
5;50;3;0;0;0;
6;50;3;0;0;0;
7;50;3;0;0;0;
8;50;3;0;0;0;
9;50;3;0;0;0;
0;50;3;0;0;0;
1;50;3;0;0;0;
2;50;3;0;0;0;
3;50;3;0;0;0;
4;50;3;0;0;0;
5;50;3;0;0;0;
6;50;3;0;0;0;
7;50;3;0;0;0;
8;50;3;0;0;0;
9;50;3;0;0;0;
0;50;3;0;0;0;
1;50;3;0;0;0;
2;50;3;0;0;0;
3;50;3;0;0;0;
4;50;3;0;0;0;
5;50;3;0;0;0;
6;50;3;0;0;0;
7;50;3;0;0;0;
8;50;3;0;0;0;
9;50;3;0;0;0;
