title=Eat a sallad
category=Hunger
energy=5
hunger=-40
bladder=10
hygiene=-4
fun=-10
#Frames
0;75;0;0;0;0;
1;75;0;0;0;0;
2;75;0;0;0;0;
3;75;0;0;0;0;
4;75;0;0;0;0;
5;75;0;0;0;0;
6;75;0;0;0;0;
7;75;0;0;0;0;
8;75;0;0;0;0;
9;75;0;0;0;0;
10;75;0;0;0;0;data/sfx/eating.wav;
11;75;0;0;0;0;
12;75;0;0;0;0;
13;75;0;0;0;0;
14;75;0;0;0;0;
15;75;0;0;0;0;
16;75;0;0;0;0;
17;75;0;0;0;0;
14;75;0;0;0;0;
15;75;0;0;0;0;
16;75;0;0;0;0;
17;75;0;0;0;0;
14;75;0;0;0;0;
15;75;0;0;0;0;
16;75;0;0;0;0;
17;75;0;0;0;0;
14;75;0;0;0;0;
15;75;0;0;0;0;
16;75;0;0;0;0;
17;75;0;0;0;0;
