title=Scare me!
category=Social
energy=-2
fun=5
social=25
hunger=1
oneShot
allowFlip
#Frames
0;30;0;0;0;0;
1;50;0;0;0;0;
2;75;0;0;0;0;data/sfx/boo.wav;
3;100;0;0;0;0;
4;1000;0;0;0;0;
5;100;0;0;0;0;
6;75;0;0;0;0;
7;75;0;0;0;0;
8;75;0;0;0;0;
9;75;0;0;0;0;
10;161;0;0;0;0;data/sfx/giggle.wav;
11;93;0;0;0;0;
10;71;0;0;0;0;
11;68;0;0;0;0;
10;61;0;0;0;0;
11;94;0;0;0;0;
10;102;0;0;0;0;
11;102;0;0;0;0;
10;83;0;0;0;0;
11;113;0;0;0;0;
10;108;0;0;0;0;
11;80;0;0;0;0;
10;102;0;0;0;0;
11;79;0;0;0;0;
10;106;0;0;0;0;
11;92;0;0;0;0;
10;85;0;0;0;0;
11;110;0;0;0;0;
10;112;0;0;0;0;
11;100;0;0;0;0;
10;100;0;0;0;0;
11;75;0;0;0;0;
12;75;0;0;0;0;
13;75;0;0;0;0;
14;75;0;0;0;0;
15;75;0;0;0;0;
16;75;0;0;0;0;
