title=Test script
oneShot
doNotDisturb
allowFlip
#Frames
0;75;0;0;;var test = @10
1;75;0;0;;label loop,var test -= 1
2;75;0;0;;if test > 0 goto loop
3;75;0;0;;var test = hygiene
4;75;0;0;;if test > 50 goto clean else goto dirty
5;75;0;0;;goto end
6;75;0;0;;label clean
7;75;0;0;;stat hyper += @500
8;75;0;0;;label dirty
9;75;0;0;;stat energy -= @50
10;125;0;0;;print hunger
11;400;0;0;;print blah
12;75;0;0;;
13;75;0;0;;
14;75;0;0;;
15;75;0;0;;
16;750;0;0;;
17;125;0;0;;
18;950;0;0;;
17;125;0;0;;
16;1100;0;0;;
1;75;0;0;;print hyper
17;125;0;0;;
18;750;0;0;;
17;125;0;0;;
16;950;0;0;;
15;75;0;0;;
14;75;0;0;;
13;75;0;0;;
12;75;0;0;;
11;75;0;0;;
10;75;0;0;;
9;500;0;0;;
8;75;0;0;;
7;75;0;0;;
6;75;0;0;;
5;75;0;0;;
4;75;0;0;;
3;75;0;0;;
2;75;0;0;;
1;75;0;0;;print hyper
0;75;0;0;;label end
