title=Whisper
fun=5
social=15
oneShot
allowFlip
#Frames
0;110;0;0;data/sfx/whisper1.wav;
2;130;0;0;;
1;160;0;0;;
3;190;0;0;;
1;130;0;0;;
2;100;0;0;;
0;200;0;0;;
3;60;0;0;;
4;100;0;0;;
5;80;0;0;;
6;150;0;0;;
7;170;0;0;;
0;110;0;0;;
2;130;0;0;;
1;160;0;0;data/sfx/whisper2.wav;
3;190;0;0;;
1;130;0;0;;
2;100;0;0;;
0;200;0;0;;
3;60;0;0;;
4;100;0;0;;
5;80;0;0;;
6;150;0;0;;
7;170;0;0;;
0;110;0;0;;
2;130;0;0;;
1;160;0;0;;
3;190;0;0;;
1;130;0;0;;
2;100;0;0;;
0;200;0;0;data/sfx/whisper3.wav;
3;60;0;0;;
4;100;0;0;;
5;80;0;0;;
6;150;0;0;;
7;170;0;0;;
0;110;0;0;;
2;130;0;0;;
1;160;0;0;;
3;190;0;0;;
1;130;0;0;;
2;100;0;0;;
0;200;0;0;;
3;60;0;0;data/sfx/whisper4.wav;
4;100;0;0;;
5;80;0;0;;
6;150;0;0;;
7;170;0;0;;
0;110;0;0;;
2;130;0;0;;
1;160;0;0;;
3;190;0;0;;
1;130;0;0;;
2;100;0;0;;
0;200;0;0;;
3;60;0;0;;
