oneShot
#Frames
0;75;0;0;0;0;0;data/sfx/dizzy.wav;
1;75;0;0;0;0;0;
2;75;0;0;0;0;0;
3;75;0;0;0;0;0;
4;75;0;0;0;0;0;
5;75;0;0;0;0;0;
6;75;0;0;0;0;0;
7;75;0;0;0;0;0;
6;150;0;0;0;0;0;
8;100;0;0;0;0;0;
9;75;0;0;0;0;0;
10;75;0;0;0;0;0;
11;75;0;0;0;0;0;
12;150;0;0;0;0;0;
13;95;0;0;0;0;0;
14;100;0;0;0;0;0;
15;75;0;0;0;0;0;
16;75;0;0;0;0;0;
17;75;0;0;0;0;0;
18;150;0;0;0;0;0;
19;100;0;0;0;0;0;
20;75;0;0;0;0;0;
21;75;0;0;0;0;0;
22;100;0;0;0;0;0;
2;250;0;0;0;0;0;
3;100;0;0;0;0;0;
4;75;0;0;0;0;0;
5;75;0;0;0;0;0;
6;75;0;0;0;0;0;
7;75;0;0;0;0;0;
6;150;0;0;0;0;0;
8;100;0;0;0;0;0;
9;75;0;0;0;0;0;
10;75;0;0;0;0;0;
11;75;0;0;0;0;0;
12;150;0;0;0;0;0;
13;95;0;0;0;0;0;
14;100;0;0;0;0;0;
15;75;0;0;0;0;0;
16;75;0;0;0;0;0;
17;75;0;0;0;0;0;
18;150;0;0;0;0;0;
19;100;0;0;0;0;0;
20;75;0;0;0;0;0;
21;75;0;0;0;0;0;
22;100;0;0;0;0;0;
2;150;0;0;0;0;0;
1;100;0;0;0;0;0;
0;75;0;0;0;0;0;
