oneShot
allowFlip
#Frames
0;75;0;0;;
1;75;0;0;;if toilet > 95  and @3 = 1 behav _too_late else if toilet > 90 think "I'm gonna poop my pants!" else if toilet > 80 think "I almost can't hold it!" else if toilet > 70 think "I really should go to the bathroom!" else if toilet > 60 think "Maybe I should go to the bathroom."
2;75;0;0;;
3;75;0;0;;
4;75;0;0;;
5;75;0;0;;
6;75;0;0;toilet.wav;
7;75;0;0;;
6;75;0;0;;
8;75;0;0;;
6;75;0;0;;
7;75;0;0;;
6;75;0;0;;
8;75;0;0;;
6;75;0;0;;
7;75;0;0;;
6;75;0;0;;
8;75;0;0;;
6;75;0;0;;
7;75;0;0;;
6;75;0;0;;
8;75;0;0;;
6;75;0;0;;
7;75;0;0;;
6;75;0;0;;
8;75;0;0;;
6;75;0;0;;
7;75;0;0;;
6;75;0;0;;
8;75;0;0;;
6;75;0;0;;
7;75;0;0;;
6;75;0;0;;
8;75;0;0;;
6;75;0;0;;
5;75;0;0;;
4;75;0;0;;
3;75;0;0;;
2;75;0;0;;
1;75;0;0;;
0;75;0;0;;
